fire_start_datetime,start_time,fire_end_datetime,end_time,locgungu,locmenu,damage_area
2011-12-28,03:20:00,2011-12-28,08:30:00,홍천,홍천,0.1
2011-11-20,21:54:00,2011-11-21,00:43:00,인제,인제,0.3
2011-11-01,15:23:00,2011-11-02,10:30:00,화천,화천,3.0
2011-10-17,15:05:00,2011-10-17,16:30:00,인제,인제,0.01
2011-10-13,15:54:00,2011-10-13,17:50:00,춘천,사북,0.1
2011-10-07,14:46:00,2011-10-07,16:28:00,홍천,남,0.01
2011-10-06,18:13:00,2011-10-06,23:30:00,화천,화천,0.3
2011-06-15,13:15:00,2011-06-15,14:45:00,춘천,동산,0.1
2011-06-12,14:25:00,2011-06-12,18:30:00,삼척,마평,0.1
2011-05-15,14:50:00,2011-05-15,18:55:00,철원,동송,0.1
2011-04-20,14:15:00,2011-04-20,15:10:00,횡성,청일,0.6
2011-04-17,14:22:00,2011-04-17,15:08:00,,청일,0.2
2011-04-17,12:40:00,2011-04-17,14:20:00,인제,남면,0.3
2011-04-16,18:25:00,2011-04-16,19:30:00,춘천,남산,0.1
2011-04-13,23:40:00,2011-04-14,02:30:00,춘천,신동,0.5
2011-04-13,16:50:00,2011-04-13,17:50:00,영월,수주,0.15
2011-04-13,16:05:00,2011-04-13,17:10:00,삼척,도계,0.2
2011-04-13,15:02:00,2011-04-13,17:50:00,,손양,4.0
2011-04-10,12:19:00,2011-04-10,13:08:00,화천,하남,0.1
2011-04-09,12:55:00,2011-04-09,13:40:00,양구,남,0.03
2011-04-09,12:30:00,2011-04-09,12:57:00,양구,동,0.04
2011-04-06,16:27:00,2011-04-06,17:00:00,강릉,왕산,0.1
2011-04-06,14:50:00,2011-04-06,16:00:00,철원,철원,0.2
2011-04-05,11:08:00,2011-04-05,11:40:00,춘천,남,0.1
2011-04-01,14:15:00,2011-04-01,16:45:00,삼척,노곡,0.5
2011-04-01,10:50:00,2011-04-01,13:30:00,정선,정선,0.3
2011-03-24,13:00:00,2011-03-24,14:15:00,화천,화천,0.7
2011-03-18,12:00:00,2011-03-18,12:50:00,홍천,홍천,0.2
2011-03-14,19:40:00,2011-03-14,21:00:00,영월,영월,0.1
2011-03-11,13:43:00,2011-03-11,14:55:00,횡성,우천,0.1
2011-03-09,17:20:00,2011-03-09,18:30:00,춘천,북산,0.3
2011-03-09,13:15:00,2011-03-09,17:50:00,영월,영월,2.0
2011-02-26,16:50:00,2011-02-26,17:15:00,원주,태장,0.03
2011-02-12,07:30:00,2011-02-12,08:20:00,원주,귀래,0.3
2011-02-11,17:50:00,2011-02-11,20:20:00,홍천,내촌,0.3
2011-02-01,21:15:00,2011-02-01,22:38:00,강릉,대전,0.2
2011-01-31,21:31:00,2011-02-01,08:10:00,양양,강현,3.5
2011-01-31,18:14:00,2011-02-01,10:30:00,양양,현남,30.0
2011-01-22,23:46:00,2011-01-23,00:10:00,강릉,죽헌,0.3
2012-12-26,12:30:00,2012-12-26,17:30:00,삼척,가곡,0.2
2012-11-27,12:30:00,2012-11-27,13:20:00,춘천,신,0.01
2012-10-21,13:12:00,2012-10-21,15:05:00,원주,문막,0.03
2012-10-14,14:28:00,2012-10-14,15:15:00,속초,설악,0.01
2012-06-29,06:00:00,2012-06-29,09:35:00,원주,부론,0.2
2012-06-22,13:00:00,2012-06-22,16:30:00,횡성,서원,0.7
2012-06-21,13:52:00,2012-06-21,19:20:00,홍천,북방,0.08
2012-06-19,11:17:00,2012-06-19,15:30:00,춘천,남,0.1
2012-06-14,21:30:00,2012-06-15,03:00:00,춘천,동,0.05
2012-05-30,09:10:00,2012-05-30,09:50:00,양구,양구,0.01
2012-05-30,08:00:00,2012-05-30,14:05:00,홍천,동,0.1
2012-05-30,05:30:00,2012-05-30,17:30:00,홍천,화촌,0.1
2012-05-29,11:28:00,2012-05-29,13:35:00,원주,부론,0.01
2012-05-28,17:19:00,2012-05-28,20:10:00,홍천,화촌,0.1
2012-05-28,13:17:00,2012-05-28,15:10:00,횡성,갑천,0.01
2012-05-28,12:18:00,2012-05-28,15:40:00,정선,여량,0.01
2012-05-28,10:32:00,2012-05-28,12:50:00,홍천,동,0.07
2012-05-27,17:50:00,2012-05-27,19:20:00,삼척,미로,0.01
2012-05-27,16:10:00,2012-05-27,18:40:00,홍천,화촌,0.01
2012-05-27,14:24:00,2012-05-27,16:20:00,영월,남,0.1
2012-05-26,15:31:00,2012-05-26,17:20:00,평창,미탄,0.2
2012-05-23,05:40:00,2012-05-23,08:40:00,화천,상서,0.04
2012-05-07,15:38:00,2012-05-07,17:40:00,평창,봉평,0.1
2012-05-07,14:54:00,2012-05-07,16:15:00,철원,갈말,0.05
2012-05-06,14:42:00,2012-05-06,17:09:00,홍천,화촌,0.01
2012-05-06,13:53:00,2012-05-06,14:45:00,원주,호저,0.05
2012-05-06,12:54:00,2012-05-06,16:20:00,화천,화천,0.1
2012-05-01,14:10:00,2012-05-01,16:30:00,삼척,가곡,0.12
2012-04-30,10:15:00,2012-04-30,11:55:00,춘천,동산,0.01
2012-04-24,14:33:00,2012-04-24,15:20:00,동해,귀운,0.01
2012-04-20,17:50:00,2012-04-20,18:40:00,영월,주천,0.05
2012-04-19,15:00:00,2012-04-19,18:40:00,횡성,청일,1.5
2012-04-19,14:16:00,2012-04-19,23:00:00,홍천,화촌,6.0
2012-04-18,16:09:00,2012-04-18,17:26:00,철원,갈말,0.15
2012-04-17,15:20:00,2012-04-17,16:15:00,영월,북,0.1
2012-04-15,20:17:00,2012-04-15,21:50:00,삼척,도계,0.03
2012-04-15,15:20:00,2012-04-15,16:40:00,평창,진부,0.12
2012-04-09,16:29:00,2012-04-09,18:20:00,춘천,동,0.02
2012-03-30,17:26:00,2012-03-30,19:00:00,양구,양구,0.1
2012-03-12,15:15:00,2012-03-12,16:40:00,횡성,갑천,0.1
2012-02-28,14:40:00,2012-02-28,14:40:00,양구,동면,0.06
2012-02-16,14:05:00,2012-02-16,15:15:00,원주,소초,0.1
2012-02-05,16:28:00,2012-02-05,16:49:00,고성,거진,0.2
2012-01-11,15:15:00,2012-01-11,16:50:00,홍천,홍천,0.03
2013-12-06,14:06:00,2013-12-06,14:45:00,양양,현북,0.01
2013-12-01,21:40:00,2013-12-01,22:40:00,강릉,성산,0.03
2013-11-22,22:17:00,2013-11-23,02:30:00,태백,하사미,0.05
2013-11-08,21:31:00,2013-11-08,21:51:00,양양,양양,0.01
2013-10-29,14:30:00,2013-10-29,16:54:00,춘천,사북,0.05
2013-08-14,17:55:00,2013-08-15,07:15:00,삼척,노곡,0.3
2013-08-11,16:22:00,2013-08-12,08:38:00,삼척,가곡,0.5
2013-06-11,15:55:00,2013-06-11,19:20:00,양구,남,0.01
2013-06-07,03:02:00,2013-06-07,04:30:00,춘천,동,0.02
2013-05-17,22:30:00,2013-05-18,00:30:00,춘천,서,0.02
2013-05-16,11:16:00,2013-05-16,12:10:00,홍천,남,0.05
2013-05-14,08:43:00,2013-05-14,10:33:00,화천,화천,0.02
2013-05-12,14:00:00,2013-05-12,15:30:00,삼척,미로,0.1
2013-05-08,12:35:00,2013-05-08,14:40:00,횡성,강림,0.2
2013-05-08,11:10:00,2013-05-08,12:40:00,속초,설악,0.01
2013-05-06,14:50:00,2013-05-06,16:19:00,춘천,동,0.1
2013-05-06,01:27:00,2013-05-06,04:30:00,춘천,동,0.5
2013-04-01,14:20:00,2013-04-01,15:10:00,춘천,동,0.01
2013-03-28,02:20:00,2013-03-28,02:55:00,강릉,교,0.02
2013-03-27,16:02:00,2013-03-27,18:40:00,홍천,홍천,0.1
2013-03-27,14:37:00,2013-03-27,18:30:00,춘천,남산,4.0
2013-03-23,14:38:00,2013-03-23,15:40:00,원주,지정,0.1
2013-03-16,10:55:00,2013-03-16,12:51:00,양양,강현,0.2
2013-03-04,12:27:00,2013-03-04,14:00:00,삼척,근덕,0.2
2013-02-28,12:10:00,2013-02-28,13:00:00,삼척,원덕,0.02
2013-01-12,16:40:00,2013-01-12,18:50:00,양양,강현,0.1
2013-03-11,12:50:00,2013-03-11,13:30:00,양구,양구,0.1
2013-03-09,13:15:00,2013-03-09,14:20:00,춘천,북산,0.3
2013-03-08,12:13:00,2013-03-08,14:30:00,양양,현남,1.0
2013-03-06,15:10:00,2013-03-06,17:10:00,춘천,남산,0.05
2013-05-04,12:33:00,2013-05-04,13:30:00,홍천,홍천,0.1
2013-04-30,12:05:00,2013-04-30,15:30:00,삼척,신기,0.8
2013-04-29,09:25:00,2013-04-29,10:20:00,태백,철암,0.07
2013-04-27,11:45:00,2013-04-27,13:30:00,양양,현남,0.3
2013-04-19,11:09:00,2013-04-19,11:50:00,홍천,남,0.1
2013-04-18,18:40:00,2013-04-19,07:30:00,홍천,서,0.1
2014-12-22,10:26:00,2014-12-22,11:30:00,양양,현북,0.05
2014-11-23,08:34:00,2014-11-23,10:30:00,양양,서,1.0
2014-11-11,11:33:00,2014-11-11,12:15:00,양구,양구,0.05
2014-11-09,13:20:00,2014-11-09,16:50:00,홍천,내촌,0.01
2014-10-30,14:43:00,2014-10-30,18:20:00,평창,대화,0.5
2014-10-29,13:30:00,2014-10-29,16:10:00,인제,기린,0.7
2014-10-28,11:57:00,2014-10-28,13:30:00,홍천,두촌,0.02
2014-09-20,13:56:00,2014-09-20,18:40:00,화천,화천,0.25
2014-07-20,18:05:00,2014-07-20,20:00:00,춘천,칠전,0.01
2014-06-19,15:00:00,2014-06-19,18:00:00,인제,남,0.04
2014-06-15,14:10:00,2014-06-15,17:20:00,인제,인제,0.05
2014-06-10,17:18:00,2014-06-10,20:00:00,원주,흥업,0.01
2014-06-01,21:45:00,2014-06-02,01:50:00,횡성,갑천,0.1
2014-05-31,17:02:00,2014-05-31,19:04:00,평창,미탄,0.5
2014-05-30,10:00:00,2014-05-30,14:00:00,삼척,도계,0.5
2014-05-28,15:40:00,2014-05-28,19:05:00,양구,남,0.1
2014-05-26,12:10:00,2014-05-26,14:10:00,삼척,근덕,0.3
2014-01-19,19:50:00,2014-01-19,20:45:00,원주,신림,0.02
2014-01-16,10:40:00,2014-01-16,14:00:00,정선,북평,0.2
2014-01-15,16:23:00,2014-01-15,17:40:00,삼척,도계,0.1
2014-01-13,12:50:00,2014-01-13,14:40:00,화천,상서,0.15
2014-05-14,18:24:00,2014-05-14,19:40:00,정선,임계,0.1
2014-05-13,11:19:00,2014-05-13,13:30:00,고성,간성,0.5
2014-05-11,16:36:00,2014-05-11,18:00:00,인제,남,0.03
2014-05-10,15:02:00,2014-05-10,17:48:00,영월,북,0.1
2014-05-09,16:12:00,2014-05-09,18:25:00,삼척,노곡,0.3
2014-05-06,18:20:00,2014-05-06,20:40:00,영월,영월,0.5
2014-05-05,19:10:00,2014-05-05,21:00:00,양구,동,0.05
2014-05-04,18:42:00,2014-05-04,21:17:00,홍천,동,0.1
2014-04-27,15:25:00,2014-04-27,16:35:00,양양,현남,0.01
2014-04-26,15:10:00,2014-04-26,17:50:00,양구,남,0.1
2014-04-26,13:20:00,2014-04-26,16:00:00,영월,한반도,0.1
2014-04-26,10:40:00,2014-04-26,12:37:00,평창,용평,0.3
2014-04-25,20:20:00,2014-04-25,21:40:00,화천,화천,0.1
2014-04-25,14:10:00,2014-04-25,15:10:00,양양,현남,0.04
2014-04-25,10:24:00,2014-04-25,12:15:00,삼척,등봉,0.5
2014-04-24,18:39:00,2014-04-24,22:25:00,영월,수주,0.15
2014-04-24,18:10:00,2014-04-24,19:30:00,춘천,남산,0.06
2014-04-24,15:20:00,2014-04-24,18:00:00,춘천,동산,0.05
2014-04-24,12:54:00,2014-04-24,18:30:00,영월,수주,1.0
2014-04-24,12:05:00,2014-04-24,15:15:00,횡성,우천,0.4
2014-04-24,10:50:00,2014-04-24,20:30:00,홍천,서석,2.5
2014-04-23,13:30:00,2014-04-23,16:40:00,춘천,남,0.03
2014-04-22,14:46:00,2014-04-22,17:10:00,홍천,화촌,0.5
2014-04-22,10:35:00,2014-04-22,13:00:00,인제,북,0.05
2014-04-21,16:05:00,2014-04-21,17:30:00,고성,토성,0.09
2014-04-21,13:15:00,2014-04-21,15:30:00,영월,한반도,0.1
2014-04-20,13:41:00,2014-04-20,15:13:00,홍천,서,0.2
2014-04-17,19:14:00,2014-04-17,21:15:00,춘천,동,0.03
2014-04-16,22:57:00,2014-04-16,00:30:00,춘천,동,0.09
2014-04-13,14:20:00,2014-04-13,16:10:00,홍천,북방,0.1
2014-04-12,14:04:00,2014-04-12,16:00:00,양구,양구,0.2
2014-04-11,16:46:00,2014-04-11,18:10:00,원주,지정,0.1
2014-04-11,14:50:00,2014-04-11,17:30:00,춘천,동,0.01
2014-04-10,15:10:00,2014-04-10,15:50:00,철원,갈말,0.03
2014-04-10,13:10:00,2014-04-10,14:19:00,양구,남,0.05
2014-04-09,14:00:00,2014-04-09,15:00:00,영월,수주,0.0
2014-04-01,13:50:00,2014-04-01,14:50:00,횡성,서원,0.2
2014-03-27,18:29:00,2014-03-27,20:35:00,평창,용평,0.15
2014-03-27,17:29:00,2014-03-27,18:37:00,홍천,서,0.2
2014-03-27,15:48:00,2014-03-27,17:00:00,철원,갈말,0.03
2014-03-24,19:14:00,2014-03-24,20:20:00,양양,강현,0.3
2014-03-24,16:27:00,2014-03-24,17:10:00,홍천,두촌,0.2
2014-03-11,16:50:00,2014-03-11,17:50:00,원주,귀래,0.06
2014-03-10,10:23:00,2014-03-10,12:45:00,화천,화천,0.12
2014-03-07,15:10:00,2014-03-07,16:45:00,홍천,북방,0.2
2014-03-07,13:37:00,2014-03-07,15:00:00,춘천,서,0.05
2014-03-07,11:50:00,2014-03-07,17:30:00,영월,김삿갓,2.0
2014-03-05,15:07:00,2014-03-05,16:30:00,춘천,남,0.01
2014-03-03,14:12:00,2014-03-03,15:00:00,원주,관설,0.06
2014-03-03,11:43:00,2014-03-03,12:50:00,원주,흥업,0.1
2014-02-27,12:30:00,2014-02-27,13:45:00,횡성,우천,0.25
2014-02-04,19:35:00,2014-02-04,21:40:00,양양,양양,0.5
2015-06-04,06:57:00,2015-06-04,10:26:00,홍천,두촌,2.0
2015-06-03,14:28:00,2015-06-03,19:00:00,춘천,남,1.0
2015-06-03,13:50:00,2015-06-03,18:20:00,인제,남,0.5
2015-06-03,11:58:00,2015-06-03,13:42:00,횡성,둔내,0.1
2015-06-02,15:30:00,2015-06-02,18:00:00,춘천,남산,0.09
2015-05-31,19:21:00,2015-06-01,12:00:00,홍천,서석,0.2
2015-05-31,19:02:00,2015-05-31,23:05:00,횡성,우천,0.15
2015-05-31,14:27:00,2015-05-31,18:00:00,화천,사내,0.06
2015-05-31,13:30:00,2015-05-31,18:00:00,화천,상서,0.03
2015-05-31,10:52:00,2015-05-31,16:30:00,삼척,하장,0.5
2015-05-29,15:05:00,2015-05-29,21:50:00,삼척,가곡,0.25
2015-05-28,18:10:00,2015-05-28,19:35:00,평창,미탄,0.3
2015-05-25,01:21:00,2015-05-25,17:00:00,횡성,갑천,0.5
2015-05-23,18:10:00,2015-05-23,20:00:00,평창,평창,0.5
2015-05-21,19:22:00,2015-05-22,01:00:00,강릉,왕산,0.7
2015-05-21,15:55:00,2015-05-21,17:00:00,영월,북,0.04
2015-05-21,15:53:00,2015-05-21,16:50:00,횡성,우천,0.01
2015-05-21,15:40:00,2015-05-21,21:00:00,홍천,홍천,1.0
2015-05-21,14:55:00,2015-05-21,20:00:00,삼척,노곡,1.2
2015-05-17,17:10:00,2015-05-17,20:00:00,홍천,내,0.2
2015-05-17,11:12:00,2015-05-17,14:15:00,양양,현북,0.3
2015-05-11,13:26:00,2015-05-11,15:00:00,정선,임계,0.1
2015-05-10,15:30:00,2015-05-10,16:45:00,강릉,왕산,0.1
2015-05-08,13:27:00,2015-05-08,14:10:00,강릉,왕산,0.1
2015-05-07,14:50:00,2015-05-07,16:00:00,춘천,동산,0.01
2015-05-07,13:40:00,2015-05-07,14:40:00,춘천,서,0.01
2015-05-05,16:32:00,2015-05-05,17:50:00,횡성,횡성,0.01
2015-05-05,11:10:00,2015-05-05,12:20:00,평창,봉평,0.1
2015-05-05,10:40:00,2015-05-05,12:50:00,강릉,왕산,0.2
2015-05-05,07:15:00,2015-05-05,08:30:00,강릉,사천,0.01
2015-05-02,17:30:00,2015-05-02,19:40:00,강릉,주문진,0.02
2015-05-02,12:50:00,2015-05-02,16:00:00,영월,남,0.03
2015-04-29,21:15:00,2015-04-30,01:50:00,양구,양구,0.5
2015-04-28,13:58:00,2015-04-28,20:00:00,홍천,화촌,2.0
2015-04-26,19:32:00,2015-04-26,23:25:00,강릉,옥계,0.2
2015-04-26,12:30:00,2015-04-26,14:40:00,화천,상서,0.2
2015-12-22,13:54:00,2015-12-22,14:30:00,강릉,학,0.01
2015-12-19,20:04:00,2015-12-19,21:00:00,인제,남,0.01
2015-12-16,13:40:00,2015-12-16,16:00:00,양양,현남,0.1
2015-12-12,13:32:00,2015-12-12,15:10:00,횡성,횡성,0.03
2015-11-04,10:35:00,2015-11-04,14:00:00,인제,상남,0.2
2015-11-02,16:35:00,2015-11-02,18:55:00,양구,남,0.3
2015-11-02,13:50:00,2015-11-02,15:00:00,강릉,연곡,0.03
2015-11-01,16:40:00,2015-11-01,18:05:00,홍천,내,0.1
2015-10-25,22:48:00,2015-10-26,02:55:00,평창,진부,0.1
2015-10-24,12:02:00,2015-10-24,18:30:00,강릉,왕산,0.5
2015-10-17,15:57:00,2015-10-17,18:07:00,철원,갈말,0.05
2015-10-17,09:20:00,2015-10-17,15:02:00,강릉,연곡,0.8
2015-10-16,15:35:00,2015-10-16,16:30:00,정선,정선,0.05
2015-10-11,12:10:00,2015-10-11,16:39:00,춘천,서,0.01
2015-10-06,15:10:00,2015-10-06,17:40:00,철원,갈말,0.1
2015-09-29,14:00:00,2015-09-29,16:50:00,원주,문막,0.05
2015-09-27,16:40:00,2015-09-27,17:47:00,원주,판부,0.01
2015-09-27,11:35:00,2015-09-27,14:10:00,춘천,사북,0.01
2015-09-25,14:18:00,2015-09-25,15:48:00,횡성,강림,0.03
2015-06-22,14:40:00,2015-06-22,17:30:00,홍천,화촌,0.1
2015-06-17,15:50:00,2015-06-17,17:30:00,춘천,북산,0.05
2015-06-16,13:26:00,2015-06-16,15:10:00,화천,간동,0.02
2015-06-15,14:02:00,2015-06-15,17:30:00,양구,남,0.01
2015-06-12,13:40:00,2015-06-12,15:25:00,인제,남,0.01
2015-06-11,12:54:00,2015-06-11,20:00:00,홍천,화촌,0.5
2015-06-10,16:00:00,2015-06-10,18:20:00,정선,북평,0.4
2015-06-10,15:03:00,2015-06-10,19:50:00,인제,북,0.25
2015-06-10,12:41:00,2015-06-10,22:00:00,횡성,서원,1.0
2015-06-09,17:03:00,2015-06-09,17:39:00,인제,북,0.01
2015-06-07,12:30:00,2015-06-07,14:30:00,화천,화천,0.01
2015-06-05,08:32:00,2015-06-05,09:50:00,동해,천곡,0.02
2015-06-04,23:56:00,2015-06-05,01:40:00,고성,간성,0.06
2015-06-04,14:36:00,2015-06-04,18:50:00,강릉,왕산,0.1
2015-06-04,13:30:00,2015-06-04,15:00:00,철원,갈말,1.0
2015-03-27,21:39:00,2015-03-27,22:10:00,양양,손양,0.03
2015-03-27,19:30:00,2015-03-27,21:30:00,고성,간성,0.9
2015-03-26,14:00:00,2015-03-26,16:50:00,원주,신림,1.5
2015-03-26,11:50:00,2015-03-26,15:50:00,삼척,도경,0.3
2015-03-25,20:01:00,2015-03-25,22:00:00,춘천,남산,0.05
2015-03-25,18:49:00,2015-03-26,17:00:00,홍천,내촌,2.9
2015-03-25,17:00:00,2015-03-25,17:55:00,평창,미탄,0.2
2015-03-25,16:36:00,2015-03-25,17:35:00,원주,귀래,0.06
2015-03-25,15:55:00,2015-03-25,18:00:00,삼척,도계,0.2
2015-03-25,13:21:00,2015-03-25,15:27:00,홍천,서석,0.1
2015-03-24,16:32:00,2015-03-24,19:00:00,홍천,내촌,0.2
2015-03-23,13:11:00,2015-03-24,18:00:00,홍천,화촌,3.0
2015-03-23,12:50:00,2015-03-23,20:45:00,인제,인제,3.0
2015-03-23,09:45:00,2015-03-23,10:53:00,철원,갈말,0.1
2015-03-22,16:04:00,2015-03-22,21:40:00,홍천,두촌,2.0
2015-03-22,14:20:00,2015-03-22,18:30:00,횡성,청일,0.3
2015-03-22,14:01:00,2015-03-23,10:30:00,화천,간동,11.0
2015-03-15,14:35:00,2015-03-15,17:15:00,동해,쇄운,0.3
2015-03-15,10:36:00,2015-03-15,13:00:00,양구,양구,0.2
2015-03-14,14:53:00,2015-03-14,16:48:00,홍천,남,0.8
2015-03-14,13:30:00,2015-03-14,14:20:00,양구,동,0.07
2015-03-14,11:56:00,2015-03-14,12:12:00,강릉,유천,0.02
2015-03-11,18:59:00,2015-03-11,19:47:00,홍천,동,0.03
2015-03-11,17:17:00,2015-03-11,17:49:00,강릉,연곡,0.1
2015-03-09,14:42:00,2015-03-09,16:26:00,춘천,동,0.4
2015-03-09,14:21:00,2015-03-09,15:00:00,춘천,신북,0.01
2015-03-08,14:00:00,2015-03-08,15:10:00,강릉,성산,0.1
2015-03-08,11:00:00,2015-03-08,14:00:00,고성,죽왕,0.9
2015-03-08,10:39:00,2015-03-08,12:00:00,횡성,청일,0.1
2015-03-07,13:35:00,2015-03-07,15:10:00,춘천,동,0.2
2015-03-04,11:40:00,2015-03-05,08:00:00,정선,여량,7.0
2015-03-02,16:17:00,2015-03-02,17:20:00,인제,북,0.01
2015-02-26,14:15:00,2015-02-26,15:35:00,원주,태장,0.2
2015-02-12,11:46:00,2015-02-12,14:00:00,영월,남,1.0
2015-02-08,13:31:00,2015-02-11,10:00:00,삼척,가곡,18.0
2015-02-01,16:21:00,2015-02-01,17:43:00,춘천,북산,0.1
2015-01-10,13:02:00,2015-01-10,16:00:00,강릉,왕산,0.2
2015-01-05,01:54:00,2015-01-05,03:00:00,강릉,주문진,0.16
2015-03-22,13:40:00,2015-03-22,15:15:00,영월,주천,0.1
2015-03-21,13:25:00,2015-03-21,15:12:00,화천,화천,0.3
2015-03-20,14:43:00,2015-03-20,16:00:00,홍천,동,0.1
2015-03-19,15:03:00,2015-03-19,16:10:00,화천,사내,0.02
2015-03-17,16:14:00,2015-03-17,18:40:00,삼척,원덕,0.5
2015-03-16,15:54:00,2015-03-16,17:20:00,태백,금천,0.5
2015-04-24,13:30:00,2015-04-24,16:00:00,정선,여량,0.3
2015-04-23,14:30:00,2015-04-23,22:00:00,인제,인제,1.0
2015-04-23,12:20:00,2015-04-23,14:40:00,고성,간성,0.5
